'(10, 14, [2], 2)' 2
'(4, 10, [1], 2)' 2
'(7, 4, [2], 2)' 2
'(3, 11, [2], 2)' 2
'(4, 0, [11], 2)' 2
'(1, 6, [14], 2)' 2
'(5, 10, [2], 2)' 2
'(1, 2, [6], 1)' 1
'(5, 6, [7], 1)' 1
'(4, 13, [1], 1)' 1
'(1, 10, [11], 1)' 1
'(6, 7, [1], 2)' 1
'(4, 8, [10], 2)' 2
'(11, 12, [0], 2)' 1
'(7, 0, [11], 2)' 2
'(7, 3, [14], 2)' 2
'(5, 8, [9], 2)' 2
'(2, 14, [1], 2)' 2
'(9, 12, [13], 2)' 2
'(8, 9, [0], 2)' 1
'(11, 12, [9], 2)' 1
'(13, 7, [1], 2)' 2
'(2, 3, [7], 2)' 1
'(11, 14, [9], 2)' 2
'(5, 0, [9], 2)' 2
'(8, 7, [2], 2)' 1
'(7, 11, [14], 2)' 2
'(1, 2, [4], 2)' 1
'(13, 10, [9], 2)' 2
'(14, 12, [0], 2)' 2
'(5, 6, [4], 2)' 1
'(10, 4, [12], 2)' 2
'(12, 11, [8], 2)' 1
'(3, 8, [11], 1)' 1
'(8, 11, [2], 1)' 1
'(12, 5, [0], 2)' 2
'(4, 11, [13], 2)' 2
'(7, 9, [10], 1)' 1
'(10, 0, [13], 2)' 2
'(1, 10, [13], 1)' 1
'(1, 5, [8], 2)' 2
'(7, 14, [2], 1)' 1
'(5, 8, [4], 2)' 2
'(8, 7, [3], 2)' 1
'(9, 12, [1], 2)' 2
'(3, 11, [14], 1)' 1
'(6, 9, [4], 2)' 2
'(1, 7, [10], 1)' 1
'(0, 11, [14], 2)' 2
'(8, 5, [13], 2)' 2
'(14, 11, [7], 2)' 2
'(3, 10, [0], 2)' 2
'(10, 9, [7], 2)' 1
'(1, 4, [11], 1)' 1
'(3, 1, [8], 2)' 2
'(2, 5, [8], 2)' 2
'(13, 14, [4], 1)' 1
'(3, 0, [12], 2)' 2
'(0, 8, [14], 2)' 2
'(6, 9, [5], 1)' 1
'(12, 7, [0], 2)' 2
'(3, 7, [2], 2)' 2
'(2, 6, [9], 2)' 2
'(9, 7, [14], 2)' 2
'(10, 13, [9], 1)' 1
'(9, 1, [12], 2)' 2
'(8, 9, [13], 2)' 1
'(14, 10, [0], 2)' 2
'(4, 6, [13], 2)' 2
'(1, 12, [0], 1)' 1
'(9, 5, [0], 2)' 2
'(2, 1, [6], 2)' 1
'(1, 8, [14], 1)' 1
'(3, 4, [1], 2)' 1
'(1, 3, [9], 1)' 1
'(6, 0, [9], 2)' 2
'(4, 5, [10], 2)' 1
'(13, 14, [9], 1)' 1
'(7, 13, [2], 2)' 2
'(13, 14, [6], 2)' 1
'(6, 5, [7], 2)' 1
'(14, 3, [5], 3)' 1
'(9, 13, [1], 1)' 1
'(3, 1, [5], 2)' 2
'(8, 13, [5], 2)' 2
'(5, 13, [2], 1)' 1
'(3, 5, [8], 2)' 2
'(11, 8, [0], 2)' 2
'(6, 2, [0], 2)' 2
'(4, 7, [0], 1)' 1
'(14, 2, [5], 3)' 1
'(5, 6, [3], 1)' 1
'(2, 10, [0], 2)' 2
'(2, 6, [14], 2)' 2
'(14, 7, [8], 3)' 1
'(2, 5, [14], 2)' 2
'(14, 13, [10], 2)' 1
'(11, 13, [9], 1)' 1
'(9, 8, [2], 2)' 1
'(11, 8, [12], 2)' 2
'(12, 9, [1], 2)' 2
'(6, 14, [5], 1)' 1
'(14, 2, [7], 3)' 1
'(2, 8, [13], 2)' 2
'(1, 3, [10], 1)' 1
'(3, 2, [6], 2)' 1
'(8, 10, [6], 2)' 2
'(7, 3, [2], 2)' 2
'(14, 7, [1], 2)' 2
'(8, 14, [6], 2)' 2
'(3, 4, [6], 1)' 1
'(2, 5, [11], 1)' 1
'(7, 11, [2], 2)' 2
'(0, 1, [13], 1)' 1
'(14, 10, [11], 3)' 1
'(2, 7, [1], 1)' 1
'(5, 7, [11], 1)' 1
'(10, 11, [9], 2)' 1
'(10, 9, [11], 2)' 1
'(12, 11, [14], 2)' 1
'(3, 11, [1], 2)' 2
'(7, 4, [1], 2)' 2
'(4, 1, [10], 2)' 2
'(5, 12, [4], 1)' 1
'(2, 5, [12], 2)' 2
'(1, 2, [13], 2)' 1
'(5, 4, [2], 2)' 1
'(5, 6, [2], 2)' 1
'(9, 3, [1], 2)' 2
'(11, 10, [13], 2)' 1
'(0, 7, [9], 2)' 2
'(3, 8, [2], 2)' 2
'(12, 8, [1], 2)' 2
'(7, 12, [1], 1)' 1
'(5, 6, [12], 1)' 1
'(0, 1, [3], 1)' 1
'(4, 13, [0], 2)' 2
'(12, 10, [13], 2)' 2
'(0, 3, [7], 1)' 1
'(3, 12, [1], 1)' 1
'(0, 2, [14], 1)' 1
'(2, 8, [13], 1)' 1
'(6, 10, [13], 2)' 2
'(3, 9, [12], 2)' 2
'(6, 8, [14], 1)' 1
'(14, 3, [1], 2)' 2
'(4, 7, [12], 2)' 2
'(6, 1, [10], 2)' 2
'(4, 7, [3], 1)' 1
'(12, 13, [4], 1)' 1
'(7, 10, [14], 1)' 1
'(1, 4, [0], 1)' 1
'(2, 3, [4], 2)' 1
'(13, 7, [2], 2)' 2
'(2, 0, [5], 2)' 2
'(6, 10, [4], 2)' 2
'(5, 4, [12], 2)' 1
'(11, 10, [12], 2)' 1
'(9, 8, [14], 2)' 1
'(0, 2, [13], 1)' 1
'(9, 14, [7], 2)' 2
'(3, 7, [0], 2)' 2
'(6, 8, [12], 2)' 2
'(5, 9, [2], 1)' 1
'(2, 4, [10], 2)' 2
'(6, 2, [9], 2)' 2
'(0, 4, [8], 1)' 1
'(2, 1, [0], 2)' 1
'(9, 7, [10], 2)' 2
'(3, 9, [11], 2)' 2
'(3, 5, [6], 1)' 1
'(8, 2, [13], 2)' 2
'(8, 6, [3], 2)' 2
'(7, 13, [1], 1)' 1
'(12, 13, [7], 1)' 1
'(0, 8, [11], 4)' 1
'(7, 8, [6], 1)' 1
'(11, 12, [1], 1)' 1
'(3, 9, [0], 2)' 2
'(9, 8, [6], 2)' 1
'(4, 1, [11], 2)' 2
'(11, 10, [1], 2)' 1
'(8, 1, [0], 2)' 2
'(5, 11, [12], 1)' 1
'(2, 3, [1], 2)' 1
'(8, 9, [3], 2)' 1
'(14, 2, [6], 3)' 1
'(2, 6, [12], 2)' 2
'(12, 14, [3], 2)' 2
'(12, 9, [4], 2)' 2
'(0, 1, [9], 1)' 1
'(0, 2, [10], 2)' 2
'(4, 5, [11], 1)' 1
'(14, 9, [2], 2)' 2
'(8, 10, [0], 1)' 1
'(3, 7, [10], 2)' 2
'(6, 8, [3], 2)' 2
'(4, 1, [14], 2)' 2
'(1, 10, [11], 2)' 2
'(7, 9, [5], 2)' 2
'(12, 6, [1], 2)' 2
'(0, 3, [10], 2)' 2
'(9, 12, [2], 1)' 1
'(7, 2, [10], 2)' 2
'(2, 3, [11], 2)' 1
'(1, 8, [11], 2)' 2
'(5, 6, [7], 2)' 1
'(1, 3, [4], 2)' 2
'(1, 14, None, 0)' 1
'(4, 8, [10], 1)' 1
'(8, 9, [0], 1)' 1
'(0, 7, [8], 1)' 1
'(8, 4, [13], 2)' 2
'(8, 12, [5], 1)' 1
'(4, 1, [12], 2)' 2
'(0, 4, [11], 1)' 1
'(8, 10, [2], 2)' 2
'(5, 7, [0], 1)' 1
'(14, 13, [5], 2)' 1
'(0, 6, [7], 2)' 2
'(11, 9, [0], 2)' 2
'(1, 3, [14], 1)' 1
'(10, 7, [2], 2)' 2
'(7, 8, [2], 1)' 1
'(4, 13, [2], 1)' 1
'(6, 11, [5], 2)' 2
'(10, 3, [11], 2)' 2
'(1, 6, [7], 1)' 1
'(1, 2, [4], 1)' 1
'(12, 3, [14], 2)' 2
'(8, 10, [1], 1)' 1
'(5, 6, [4], 1)' 1
'(3, 1, [9], 2)' 2
'(1, 6, [9], 2)' 2
'(0, 2, [3], 2)' 2
'(8, 5, [0], 2)' 2
'(4, 2, [9], 2)' 2
'(14, 12, [13], 3)' 1
'(7, 14, [2], 2)' 2
'(7, 4, [14], 2)' 2
'(8, 4, [3], 2)' 2
'(5, 11, [13], 2)' 2
'(7, 6, [5], 2)' 1
'(3, 11, [14], 2)' 2
'(5, 10, [13], 1)' 1
'(5, 11, [3], 2)' 2
'(4, 9, [0], 2)' 2
'(13, 12, [4], 2)' 1
'(12, 9, [6], 2)' 2
'(9, 2, [0], 2)' 2
'(0, 6, [8], 1)' 1
'(14, 4, [3], 2)' 2
'(2, 1, [5], 2)' 1
'(5, 6, [14], 1)' 1
'(5, 12, [14], 1)' 1
'(0, 7, [11], 2)' 2
'(6, 9, [5], 2)' 2
'(5, 0, [10], 2)' 2
'(10, 13, [9], 2)' 2
'(2, 13, [0], 2)' 2
'(2, 6, [9], 1)' 1
'(9, 8, [7], 2)' 1
'(6, 11, [12], 2)' 2
'(5, 10, [4], 1)' 1
'(8, 9, [13], 1)' 1
'(9, 11, [12], 1)' 1
'(6, 2, [7], 2)' 2
'(6, 9, [10], 1)' 1
'(2, 10, [1], 1)' 1
'(8, 10, [3], 1)' 1
'(9, 3, [12], 2)' 2
'(2, 10, [13], 2)' 2
'(6, 5, [9], 2)' 1
'(8, 1, [7], 3)' 1
'(1, 2, [5], 1)' 1
'(14, 5, [1], 2)' 2
'(8, 3, [2], 2)' 2
'(13, 14, [6], 1)' 1
'(14, 8, [10], 3)' 1
'(0, 5, [11], 1)' 1
'(7, 13, [2], 1)' 1
'(7, 9, [12], 2)' 2
'(3, 8, [12], 2)' 2
'(4, 5, [8], 2)' 1
'(7, 8, [1], 1)' 1
'(8, 3, [14], 2)' 2
'(12, 3, [1], 2)' 2
'(11, 4, [14], 2)' 2
'(9, 14, [0], 1)' 1
'(3, 1, [12], 2)' 2
'(8, 13, [5], 1)' 1
'(13, 8, [3], 2)' 2
'(14, 13, [8], 2)' 1
'(5, 6, [3], 2)' 1
'(6, 7, [5], 1)' 1
'(0, 8, [13], 1)' 1
'(8, 14, [6], 1)' 1
'(9, 12, [6], 1)' 1
'(1, 9, [14], 1)' 1
'(14, 7, None, 0)' 1
'(11, 12, [5], 1)' 1
'(2, 6, [14], 1)' 1
'(0, 6, [13], 2)' 2
'(8, 5, [11], 2)' 2
'(1, 2, [8], 2)' 1
'(5, 8, [2], 2)' 2
'(5, 3, [9], 2)' 2
'(1, 14, [11], 4)' 1
